Title,Link,Description
"KB손해보험, 지수형 특약 및 기후 질환 보장 탑재 'KB해외여행보험' 출시...",http://www.sisaon.co.kr/news/articleView.html?idxno=170725,"푸름이 이동환경교실은 교보생명이 지난해부터 환경부와 함께 운영해온 사회공헌 사업이다. 올해는 운영... 기후위기와 탄소중립, 코딩봇과 함께하는 환경안전교육, 내일을 위한 소비, 우리마을 에코디자이너 등 10여... "
"기후위기 특별위원회, 소위원회 구성 및 업무보고 진행",https://www.kfenews.co.kr/news/articleView.html?idxno=635648,"구성하고, ▲2050 탄소중립녹색성장위원회 ▲환경부 ▲산업통상자원부에 대한 업무보고를 진행했다.... 기후적응 정책 마련 ▲적극적인 기후재정의 역할 ▲탄소중립기본법 헌법불합치 결정과 온실가스 감축 계획 마련... "
"국회 기후위기특위, 탄소중립법·기후예산 심사 소위원회 구성",http://www.energydaily.co.kr/news/articleView.html?idxno=155696,"2050 탄소중립녹색성장위원회, 환경부, 산업통상자원부 등 주요 정부기관의 업무보고를 받았다. 이번... 또한, 지자체 특성을 반영한 기후적응 정책 수립의 필요성, 적극적인 기후재정 확보와 활용 방안, 헌법불합치 결정이... "
"[로컬거버넌스] 인천시 계양구, 탄소중립·녹색성장 기본계획 수립 추진",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160278276838457,"위한 탄소중립 정책을 지속적으로 추진할 계획이며, 주민 여러분께서도 생활 속 온실가스 감축과... ■ 기후위기 취약계층 대상 맞춤형 인프라 구축 계양구는 환경부 공모사업인 ‘기후위기 취약계층·지역... "
"“차기 정부, 기술 중심 혁신과 규제 혁파 체제 갖춰야” 행정학회",https://n.news.naver.com/mnews/article/030/0003308616?sid=101,"이를 산업부로 일임할 경우 조직이 너무 거대해지고, 환경부는 탄소중립보다는 기후적응 분야에 집중하는 것이 낫다는 설명이다. 허형조 단국대 교수는 중소·벤처·스타트업 육성 정책 필요성을 강조했다. 국가 경제와... "
"[플맨픽-금융] 삼성카드, 한국철도공사와 전략적 업무 협약 체결 外",https://www.pressman.kr/news/articleView.html?idxno=89247,푸름이 이동환경교실은 교보생명이 지난해부터 환경부와 함께 운영해온 사회공헌 사업이다. 올해는 운영... 역할놀이 ▲기후위기와 탄소중립 ▲코딩봇과 함께하는 환경안전교육 ▲내일을 위한 소비 ▲우리마을... 
"제주도 '에너지 대전환' 1년, 글로벌 탄소중립 모델 가시화",http://www.headlinejeju.co.kr/news/articleView.html?idxno=568464,"양제윤 제주도 혁산산업국장은 &quot;제주는 에너지 대전환 정책을 통해 가시적인 성과를 창출하고 있다&quot;며 &quot;지속적인 기술 개발, 제도적 지원, 도민 참여를 통해 탄소중립 목표를 달성하고, 에너지 대전환을 지역경제... "
"일시 RE100 달성한 제주, 재생에너지 지난 1년의 성과는?",https://news.bbsi.co.kr/news/articleView.html?idxno=4028244,"앞으로 제주도는 탄소중립 실현을 목표로 중앙부처와 협업을 통해 신산업까지 육성한다는 계획입니다. 산업통상자원부와는 10.9㎿ 규모 추가 그린수소 생산시설 구축사업을 추진 중이며, 환경부와는 수소충전소... "
제주 재생에너지 100% 달성·탄소중립 실현 목표 성과 '뚜렷',http://www.jejumaeil.net/news/articleView.html?idxno=346352,"양제윤 제주도 혁산산업국장은 &quot;제주는 에너지 대전환 정책을 통해 가시적인 성과를 창출하고 있다&quot;며 &quot;지속적인 기술 개발, 제도적 지원, 도민 참여를 통해 탄소중립 목표를 달성하고, 에너지 대전환을 지역경제... "
충주시 LNG 화력발전소 설치 추진…주민들 강력 반발,https://www.jbnews.com/news/articleView.html?idxno=1474903,"실제, 서충주신도시가 포함된 일원은 지난 2022년 4월 환경부로부터 탄소중립도시 대상지로 선정됐고... 이처럼 LNG 발전소 추진이 탄소중립 정책과 정면으로 충돌하는데다 주민과의 사전 소통없이 추진된 것으로... "
