기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2025/04,합계,합계,합계,서울,0,0,0,0,802.346,0,87.22999999999999,0,47.80411500000001,0,0,0,5.8,0,27.950000000000003,971.1301149999999
2025/04,합계,합계,합계,부산,4550,19,0,0,1845.836,0,40.480000000000004,0,275.20129999999995,0.762,0.02,0,4.574,0,33.9,6769.7733
2025/04,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,390.4740859999999,0,3.56,0,3,0,9.9,1124.6440859999998
2025/04,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,265.1050000000001,0,181.41563499999995,49,12.599,0,76.33,0,30.78,14308.206634999999
2025/04,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,361.4140009999994,0,1.83,0,2.12,0,3.96,505.6050009999994
2025/04,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,64.33711,0,0,0,0.099,0,88,207.90111
2025/04,합계,합계,합계,울산,2800,0,0,0,3619.3,0,45.658,0,145.71464000000032,0,0.3,0,0,0,18.2,6629.17264
2025/04,합계,합계,합계,경기,0,253.35500000000002,0,39.35,17587.717,400,296.09000000000003,0,2004.3660760000128,5.271,275.954,254,62.522999999999996,0,51.45499999999999,21230.081076000013
2025/04,합계,합계,합계,강원,0,7414,400,0,1279.2,1000,98.49600000000001,0,1932.075363000045,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,13606.499363000046
2025/04,합계,합계,합계,충북,0,0,0,0,270,0,59.400000000000006,0,1577.365089000038,0,518.644,0,2.66,0,50.797,2478.8660890000383
2025/04,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3813.3281829999846,2,32.251,0,383.52,0,9.39,27593.65718299999
2025/04,합계,합계,합계,전북,0,445.369,0,7.490000000000001,718.4000000000001,600,15.42,0,4635.98235200034,79.5,78.91699999999999,0,477.812,0,14.535,7073.42535200034
2025/04,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,6158.947940000042,454.87499999999994,36.481,0.08,2.229,0,22.869999999999997,16026.611840000043
2025/04,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,66.988,0,3947.9779230000117,578.0097,179.95499999999998,0,1.5,0,38.935,19549.565623000013
2025/04,합계,합계,합계,경남,0,8200,0,27.19,1130.972,1300,31.514999999999997,0,2026.9637100000386,101.78599999999999,145.469,0,14.86,0,6.783,12985.538710000039
2025/04,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,627.2383950000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,2003.5947950000004
2025/04,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,89.20762500000001,0,2.31,0,5,0,3.25,1232.659625
