기간,지역,원자력,석탄,,,유류,LNG,양수,신재생,,,,,,,,,기타,전력시장 계
,,,유연탄,무연탄,계,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,계,,
2025/03,서울,0,0,0,0,0,850.428,0,86.63,0,18.488000000000003,0,0,0,6.865,32.95,144.933,0,995.3610000000001
2025/03,부산,4550,19,0,19,0,1895.986,0,40.480000000000004,0,147.51999999999992,0.75,0,0,5.069,39.699999999999996,233.51899999999992,0,6698.505
2025/03,대구,0,72.9,0,72.9,0,685,0,3.9,0,113.79099999999998,11.55,4.0600000000000005,0,3,15.600000000000001,151.90099999999998,0,909.8009999999999
2025/03,인천,0,5080,0,5080,0,8597.146999999999,0,265.00000000000006,0,64.17399999999999,49,12.599,0,68.36,33.68,492.81300000000005,7.97,14177.929999999998
2025/03,광주,0,0,0,0,0,115.246,0,20.72,0,80.54199999999999,0,1.83,0,2.12,1.26,106.472,2.7,224.41799999999998
2025/03,대전,0,0,0,0,0,74.38,0,7.0600000000000005,0,19.945,0,0,0,0,8.8,35.80500000000001,88,198.185
2025/03,울산,2800,0,0,0,0,3891.8,0,65.458,0,62.50200000000001,0,0.3,0,0,59.79,188.05,16.4,6896.25
2025/03,경기,0,253.35500000000002,0,253.35500000000002,38.9,18434.818,400,294.23,0,460.7480000000009,5.25,275.495,254,55.854,56.555,1402.132000000001,8.4,20537.605
2025/03,강원,0,7414,400,7814,0,1279.2,1000,98.4,0,760.8780000000015,570.1180000000002,522.792,0,365.795,18.48,2336.4630000000016,0,12429.662999999997
2025/03,충북,0,0,0,0,0,837.422,0,59.400000000000006,0,423.1690000000006,0,518.0440000000001,0,1.79,49.747,1052.1500000000008,0.29,1889.8620000000014
2025/03,충남,0,18246.058,0,18246.058,465.8,4240.737999999999,0,82.72,346.33,1529.7880000000043,2,30.781,0,375.60999999999996,812.8399999999999,3180.069000000004,0,26132.664999999986
2025/03,전북,0,667.2689999999999,0,667.2689999999999,0,718.4,600,15,0,909.8600000000017,79.5,78.80699999999997,0,474.66700000000003,14.535,1572.3690000000017,0,3558.0380000000096
2025/03,전남,5900,1231.1,0,1231.1,0,1873.6999999999998,0,68.56,0,3158.69099999998,550.875,35.619,0,1.231,2282.5099999999998,6097.48599999998,0,15102.28599999995
2025/03,경북,12800,156.1,0,156.1,0,417,1400,65.91,0,910.7520000000047,641.43,177.131,0,1.5,1699.985,3496.7080000000046,0,18269.807999999994
2025/03,경남,0,8200,0,8200,26.3,1130.972,1300,31.199999999999996,0,647.6520000000017,101.77999999999999,145.14000000000001,0,13.25,10.75,949.7720000000018,0,11607.044000000002
2025/03,제주,0,0,0,0,0,492.53000000000003,0,0,0,505.0919999999994,421.96999999999997,0.8160000000000001,0.5,434.45,19.2,1382.0279999999996,516.8,2391.3579999999965
2025/03,세종,0,0,0,0,0,1127.612,0,5.28,0,38.114999999999995,0,2.31,0,5,3.25,53.955,0,1181.567
2025/03,소계,26050,41339.78200000001,400,41739.78200000001,531,46662.37899999999,4700,1209.9479999999994,346.33,9851.706999999868,2434.2229999999995,1805.7239999999993,254.5,1814.5610000000001,5159.6320000000005,22876.62499999987,640.56,143200.34599999868
2025/02,서울,0,0,0,0,0,850.428,0,86.63,0,18.488000000000003,0,0,0,6.865,32.95,144.933,0,995.3610000000001
2025/02,부산,4550,19,0,19,0,1895.986,0,40.480000000000004,0,147.04899999999992,0.75,0,0,5.069,39.699999999999996,233.04799999999992,0,6698.034
2025/02,대구,0,72.9,0,72.9,0,685,0,3.9,0,113.79099999999998,11.55,4.0600000000000005,0,4.5,15.600000000000001,153.40099999999998,0,911.3009999999999
2025/02,인천,0,5080,0,5080,0,8597.146999999999,0,265.00000000000006,0,64.17399999999999,49,12.599,0,68.36,33.68,492.81300000000005,7.97,14177.929999999998
2025/02,광주,0,0,0,0,0,115.246,0,20.72,0,80.08599999999998,0,1.83,0,2.12,1.26,106.01599999999999,2.7,223.962
2025/02,대전,0,0,0,0,0,74.38,0,7.0600000000000005,0,19.945,0,0,0,0,8.8,35.80500000000001,88,198.185
2025/02,울산,2800,0,0,0,0,3891.8,0,45.658,0,62.50200000000001,0,0.3,0,0,59.79,168.25,16.4,6876.45
2025/02,경기,0,253.35500000000002,0,253.35500000000002,38.9,18434.818,400,294.23,0,452.7970000000009,5.25,275.495,254,55.854,56.555,1394.181000000001,8.4,20529.654
2025/02,강원,0,7414,400,7814,0,1279.2,1000,98.4,0,755.4390000000014,570.1180000000002,522.792,0,365.795,18.48,2331.0240000000017,0,12424.223999999997
2025/02,충북,0,0,0,0,0,837.422,0,59.400000000000006,0,420.6670000000006,0,518.0440000000001,0,1.79,49.747,1049.6480000000006,0.29,1887.3600000000015
2025/02,충남,0,18246.058,0,18246.058,465.8,4240.737999999999,0,82.72,346.33,1526.8600000000042,2,30.781,0,375.65,812.8399999999999,3177.181000000004,0,26129.776999999987
2025/02,전북,0,667.2689999999999,0,667.2689999999999,0,718.4,600,15,0,909.8600000000017,79.5,78.80699999999997,0,474.66700000000003,14.535,1572.3690000000017,0,3558.0380000000096
2025/02,전남,5900,1231.1,0,1231.1,0,1873.6999999999998,0,68.56,0,3149.75299999998,550.875,35.619,0,1.231,2282.5099999999998,6088.547999999981,0,15093.34799999995
2025/02,경북,12800,156.1,0,156.1,0,417,1400,65.91,0,906.7230000000046,641.43,177.131,0,1.5,1697.0349999999999,3489.729000000005,0,18262.828999999994
2025/02,경남,0,8200,0,8200,26.3,1130.972,1300,31.199999999999996,0,644.6280000000019,101.77999999999999,145.14000000000001,0,13.25,10.75,946.7480000000019,0,11604.020000000002
2025/02,제주,0,0,0,0,0,492.53000000000003,0,0,0,502.73099999999937,421.96999999999997,0.8160000000000001,0.5,434.45,19.2,1379.6669999999995,394.314,2266.5109999999963
2025/02,세종,0,0,0,0,0,1127.612,0,5.28,0,38.114999999999995,0,2.31,0,5,3.25,53.955,0,1181.567
2025/02,소계,26050,41339.78200000001,400,41739.78200000001,531,46662.37899999999,4700,1190.1479999999995,346.33,9813.607999999866,2434.2229999999995,1805.7239999999993,254.5,1816.101,5156.682000000001,22817.315999999864,518.074,143018.5509999987
2025/01,서울,0,0,0,0,0,850.428,0,86.3,0,18.488000000000003,0,0,0,6.865,32.95,144.603,0,995.0310000000001
2025/01,부산,4550,19,0,19,0,1895.986,0,40.480000000000004,0,146.51299999999992,0.75,0,0,5.069,39.699999999999996,232.51199999999992,0,6697.498
2025/01,대구,0,72.9,0,72.9,0,685,0,3.9,0,112.79599999999998,11.55,4.0600000000000005,0,4.5,15.600000000000001,152.40599999999998,0,910.3059999999999
2025/01,인천,0,5080,0,5080,0,8597.146999999999,0,255.32000000000005,0,64.17399999999999,49,12.599,0,68.36,33.68,483.13300000000004,7.97,14168.25
2025/01,광주,0,0,0,0,0,115.246,0,20.72,0,77.61799999999998,0,1.83,0,2.12,1.26,103.54799999999999,2.7,221.49399999999997
2025/01,대전,0,0,0,0,0,74.38,0,7.0600000000000005,0,19.945,0,0,0,0,8.8,35.80500000000001,88,198.185
2025/01,울산,2800,0,0,0,0,3891.8,0,46.098,0,62.50200000000001,0,0.3,0,0,59.79,168.69,16.4,6876.89
2025/01,경기,0,253.35500000000002,0,253.35500000000002,38.9,18434.818,400,294.23,0,445.2270000000009,5.25,275.495,254,55.854,56.555,1386.611000000001,8.4,20522.084
2025/01,강원,0,7414,400,7814,0,1279.2,1000,98.4,0,753.9400000000014,570.1180000000002,522.792,0,365.795,18.48,2329.5250000000015,0,12422.724999999997
2025/01,충북,0,0,0,0,0,837.422,0,59.400000000000006,0,417.3750000000006,0,518.0440000000001,0,1.79,49.747,1046.3560000000007,0.29,1884.0680000000016
2025/01,충남,0,18246.058,0,18246.058,465.8,4240.737999999999,0,82.72,346.33,1520.9680000000042,2,30.781,0,375.65,812.8399999999999,3171.2890000000043,0,26123.884999999987
2025/01,전북,0,667.2689999999999,0,667.2689999999999,0,718.4,600,15,0,906.3890000000017,79.5,78.80699999999997,0,474.66700000000003,14.535,1568.8980000000017,0,3554.56700000001
2025/01,전남,5900,1231.1,0,1231.1,0,1873.6999999999998,0,68.56,0,3141.9979999999796,550.875,35.619,0,1.231,2282.5099999999998,6080.79299999998,0,15085.59299999995
2025/01,경북,12800,156.1,0,156.1,0,417,1400,65.91,0,891.1670000000044,566.43,177.131,0,1.5,1697.0349999999999,3399.1730000000043,0,18172.272999999994
2025/01,경남,0,8200,0,8200,26.3,1130.972,1300,28.799999999999997,0,637.8850000000017,101.77999999999999,145.14000000000001,0,13.25,10.75,937.6050000000016,0,11594.877000000002
2025/01,제주,0,0,0,0,0,492.53000000000003,0,0,0,500.2699999999994,421.96999999999997,0.8160000000000001,0.5,434.45,19.2,1377.2059999999994,394.314,2264.0499999999965
2025/01,세종,0,0,0,0,0,1127.612,0,5.28,0,35.632999999999996,0,2.31,0,5,3.25,51.473,0,1179.085
2025/01,소계,26050,41339.78200000001,400,41739.78200000001,531,46662.37899999999,4700,1178.1779999999994,346.33,9752.887999999864,2359.2229999999995,1805.7239999999993,254.5,1816.101,5156.682000000001,22669.625999999862,518.074,142870.8609999987
2024/12,서울,0,0,0,0,0,850.428,0,86.3,0,18.488000000000003,0,0,0,6.865,0,111.65299999999999,32.95,995.0310000000001
2024/12,부산,4550,19,0,19,0,1895.986,0,40.480000000000004,0,143.96799999999993,0.75,0,0,5.069,0,190.2669999999999,39.7,6694.9529999999995
2024/12,대구,0,72.9,0,72.9,0,685,0,3.9,0,112.39699999999998,11.55,4.0600000000000005,0,4.5,0,136.40699999999998,15.6,909.9069999999999
2024/12,인천,0,5080,0,5080,0,8597.146999999999,0,255.32000000000005,0,63.93499999999999,49,12.599,0,68.36,0,449.21400000000006,41.65,14168.010999999999
2024/12,광주,0,0,0,0,0,115.246,0,20.72,0,77.61799999999998,0,1.83,0,2.12,0,102.28799999999998,3.96,221.49399999999997
2024/12,대전,0,0,0,0,0,74.38,0,7.0600000000000005,0,19.945,0,0,0,0,0,27.005000000000003,96.8,198.185
2024/12,울산,2800,0,0,0,0,3891.8,0,46.098,0,61.95500000000001,0,0.3,0,0,0,108.35300000000001,76.19,6876.343
