year,metro,가로등,교육용,농사용,산업용,일반용,주택용,심야,기타,총합
2012,강원특별자치도,172196667,293051224,441005802,7061175741,3799233147,1972682792,0,2165036768,15904382141
2012,경기도,738842083,1514010541,1997824531,52601767462,23605792093,15730315986,0,4103399706,100291952402
2012,경상남도,243075999,416176248,1621659109,19564199999,5589506311,4167332028,0,1412997719,33014947413
2012,경상북도,242890462,559306829,1405384675,32773042358,4735709856,3251912272,0,1542786073,44511032525
2012,광주광역시,71806470,275833084,71706553,3027236444,2694545416,1802702314,0,186662988,8130493269
2012,대구광역시,112934401,309409233,73093993,6565422134,4314846350,3198710094,0,380541782,14954957987
2012,대전광역시,69606947,356567087,28589310,3171901446,3233030871,1945697703,0,354713721,9160107085
2012,부산광역시,175621095,477408107,101882372,8548282880,6209599585,4615833969,0,536214316,20664842324
2012,서울특별시,375049773,1706547220,18101869,5179380950,25688375749,13735712377,0,530934342,47234102280
2012,세종특별자치시,4494366,9202596,17281938,413900479,61749392,36367961,0,35613386,578610118
2012,울산광역시,56153504,147739653,79297423,25515925023,1907085561,1451942893,0,204580163,29362724220
2012,인천광역시,151536713,327792076,106252371,12891529683,5063488230,3692669195,0,418677985,22651946253
2012,전라남도,216664437,270293847,2413478214,19224010078,3204759075,2273794425,0,881718628,28484718704
2012,전라북도,175298944,345865720,1085359273,13092175705,3231834425,2342432372,0,1189358717,21462325156
2012,제주특별자치도,43900657,102376365,1080619782,457700740,1369060086,655207649,0,155773853,3864639132
2012,충청남도,153403906,430536937,1566165303,32839484647,3853383524,2521629322,0,1881537146,43246140785
2012,충청북도,126178993,247258330,472571502,10480435310,2478403960,1774036027,0,1354232212,16933116334
2013,강원특별자치도,165930237,302305646,478763210,6931296523,3891846883,1973317188,0,2051280881,15794740568
2013,경기도,746176769,1516418251,2096163483,54239770447,23914266515,15834257284,0,3880014473,102227067222
2013,경상남도,244899634,409726632,1849819773,19814681584,5732743293,4192237558,0,1286510478,33530618952
2013,경상북도,245488151,572209886,1539916593,33218688099,4835605510,3285004028,0,1443363736,45140276003
2013,광주광역시,73436920,283142140,73712440,3076089936,2729173502,1889122472,0,149397077,8274074487
2013,대구광역시,113175548,318313128,75205918,6699276574,4311156542,3216020598,0,346903574,15080051882
2013,대전광역시,70416628,370866526,28284485,3247267142,3235792955,1950370584,0,322141661,9225139981
2013,부산광역시,173203565,468691201,100263593,8377830056,6167727324,4603184569,0,473804856,20364705164
2013,서울특별시,364680326,1693801570,17196415,5112325711,25240312011,13626045740,0,500743441,46555105214
2013,세종특별자치시,17276800,40756429,67887131,1639692572,297339186,159841019,0,122733640,2345526777
2013,울산광역시,56006805,152119254,83420277,26112445368,1926427954,1481392293,0,181156914,29992968865
2013,인천광역시,156145981,338593983,107015102,12878042596,5056047913,3741451677,0,396144236,22673441488
2013,전라남도,210411087,276233074,2659439923,20818248247,3235343759,2293973553,0,808418343,30302067986
2013,전라북도,171619648,360044687,1163739437,13261324996,3288938443,2346451906,0,1116535581,21708654698
2013,제주특별자치도,45740650,109898484,1192204395,482810194,1441973591,678609429,0,143662966,4094899709
2013,충청남도,155131509,433319340,1663373184,34932911721,3956835196,2536315076,0,1788886085,45466772111
2013,충청북도,124620158,251655488,509039856,10976339489,2534855676,1789021753,0,1289616458,17475148878
2014,강원특별자치도,169828960,291894170,523341924,7083755112,3922521236,1952213010,0,1834549178,15778103590
2014,경기도,756249889,1401802110,2163928186,55050301274,23894386351,15564652462,0,3349386181,102180706453
2014,경상남도,253555391,381074104,1949237053,19882399798,5670975574,4122319312,0,1175583946,33435145178
2014,경상북도,252998841,539465590,1583349989,34017290661,4763902903,3224709699,0,1326279536,45707997219
2014,광주광역시,74210402,266164074,74984706,3080504673,2682092443,1878999246,0,140320735,8197276279
2014,대구광역시,116753540,305189595,72610567,6765783199,4179495561,3111873651,0,307079724,14858785837
2014,대전광역시,73833646,355183100,28652331,3291595587,3169712422,1908146270,0,275400690,9102524046
2014,부산광역시,173271532,433227631,102790297,8366615312,6011237837,4468796756,0,424938928,19980878293
2014,서울특별시,362032432,1572966297,16441923,4984656953,24429492808,13184721006,0,468541628,45018853047
2014,세종특별자치시,20728886,46023430,68084771,1661510416,337827487,195864983,0,106991952,2437031925
2014,울산광역시,56890222,148231835,82898423,26323490848,1886448961,1453929281,0,163234194,30115123764
2014,인천광역시,162298025,318988181,117805906,12939076957,5018116368,3689916956,0,331846069,22578048462
2014,전라남도,210759096,262497877,2808849804,22268069209,3197764281,2249364856,0,725633107,31722938230
2014,전라북도,175308479,329793759,1229302005,14030110025,3234080604,2299710274,0,999107050,22297412196
